#separator:tab
#html:false
【国121】委身	置身，寄身
【国196】贡	进贡                        举荐       迨今十年，始获一贡
【国197】羡	盈余       故其材不赋而羡                 超出       采玉者心羡于玉                 滥，超过限度       河灾羡滥
【国198】绍	连续，继承       今大汉绍陶唐之洪烈                 介绍，引荐
【国199】旌	表扬，表彰       臣闻德以旌贤，爵以建事                 表示，显示       旌其异者而志之
【国200】猷	[yóu] 计谋，计划                        [yóu] 欺诈
【国201】兹	指示代词，此，这                        通“滋”滋长，增益                        更加
【国202】延	引导，迎接，邀请       余人各复延其家                 招纳，接纳       延天下英俊也
【国203】庶几	或许，可能，差不多，大概       庶几其圣人乎？                 表希望，但愿       庶几赦余
【国204】闱	春闱，会试，每年三月，三年一次，在礼部举行，举人参加                        秋闱，乡试，每年八月，三年一次，在省城举行，秀才和监生参加
【国205】策	探测，预计       光颜策贼必至
【国206】权	本义，秤锤，秤                        权衡，均衡                        称量                        权宜，变通                        副词，姑且，暂且       且权停住所在，须后节度
【国207】浪	放荡，滥                        徒然，白白的       胡为浪自苦，得酒且欢喜
【国208】移	动摇       千乘莫移其情                 移送文书
【国209】移病	上书称病，为要求隐退的委婉语       弘乃移病免归
【国210】重	督查       惧宰官之不修，立监牧以重之
【国211】濬	[jùn] 同“浚”疏通河道
【国212】寝	[jìn] 同“浸”浸润                        [jìn] 副词，渐渐                        [jìn] 更加
【国213】訾	[zǐ] 诋毁，指责       不求有声，不畏人訾。《荀子·不苟》                 [zǐ] 厌恶，怨恨       心不訾怨。《礼记·表记》
【国214】寤	醒，睡醒       惕然而寤                 通“悟”觉悟，明晓                        通“晤”相对，见面
【国215】报	答复，给回信       上久不报
【国216】草创	开始创立       天命初定，万事草创                 起草稿
【国217】股肱	比喻辅佐帝王的得力大臣       二三执政犹吾股肱                 辅佐，捍卫       子股肱鲁国
【国218】怨望	怨恨，心怀不满       百姓怨望
【国219】可意	合意，如意       与宾客谈论，有不可意，便面折其短
【国220】号	宣称，宣扬       是时项羽兵四十万，号百万
【国221】聊	依赖，寄托       计出于无聊也                 姑且，暂且       聊相为言之
【国222】阶	根由，原因       福祸之阶也                 招致祸患       若犹未也，之为祸
【国223】捐	抛弃       捐余玦兮江中，遗余佩兮醴浦。《九歌·湘夫人》                 除去       细大不捐。《进学解》                 封建社会出钱买官       捐个防护内监。《红楼梦》
【国224】明府	官府                        汉魏以来对郡守的尊称       明府位尊德重）或称“两千石”
【国225】严	整饬，整理       从官不暇严，吏卒常苦之                 急促，猛烈       凉风严且苛
【国226】区区	小，少                        诚挚的样子       虽至诚区区，终无得也                 愚拙，凡庸       阿母谓府吏，何乃太区区                        自称的谦词，我）（区区自过象郡                 指国家       兴区区，霸天下                 形容拘泥局限       何必区区独守所闻
【国227】望风	望其仪容风采，异译为，都来投奔依附       海内望风
【国228】鹄	[hú] 天鹅                        [hú] 白（鹄发）gǔ                        [hú] 箭靶的中心                        [hú] 目的，目标
【国229】泛滥	形容文章气势浑厚                        漂泊泛舟       东流至海，泛滥无所止
【国230】妄	荒诞，无根据       善不妄来，灾不空发                 任意，随便       不敢妄举师以伐攻
【国231】几希	很少       人之所以异于禽兽者几希，庶民去之，君子存之
【国232】交通	交往，交游       君之肺腑，可与交通                 暗中勾结       立与平帝外家卫氏交通                 情感上的沟通交流
【国233】设	完备       宗族盛，兵卫设                 适合       礼也者，和于天时，设于地财                 表假设，假如       设秦人得之，如何？
【国234】衔	本义，马嚼子                        心中怀着       乃能衔哀至诚                 特制怀恨       兢大怒，畏宪不敢发，心衔之                 遵奉，接受       衔君命而使
【国237】折	夭折，死亡                        屈服，折服       韩且折而入于魏                 反驳，驳难       陈元、范升之徒更相非折                 斥责，指责       季布面折其短
【国235】覈	[hé] 检查，核实       研覈是非
【国236】戢	[jí] 止，止息       丧乱以来，兵草未戢                 [jí] 集聚       兵戢而时动
【国237】佞	才能       寡人不佞，其不能以诸侯退矣                 用巧言奉承，奸伪       何必为佞以取富贵                 沉迷于       佞佛
【国238】廉	查访，侦察       诸生存咸阳者，吾使人廉问                 正直，方正                        清廉，不苟取                        辞让，谦恭
【国239】旦夕	早晚，经常       甄丰旦夕入谋议                 指时间短       旦夕间
【国240】濡忍	柔顺含忍       诚知其姊无濡忍之志
【国241】厥	第三人称代词，他       遭世罔极兮，乃损厥身                 指示代词，远指，那       厥近者千里有余载，近者数百载                 乃，才（左丘失明，厥有《国语》；通“掘”挖掘；通“屈”竭尽；通“蹶”摔倒，失败
【国242】遮道	拦路       陈王出，遮道而呼涉）（使客遮道夺人财物
【国243】逆	迎接       韩宣子逆客                 揣测       以意逆志，是谓之得                 预先       逆知其将死，则其书诞谩不足信也                 忤逆                        迎战，抵抗                        叛乱
【国244】蕲	[qí] 通“祈”求       不知生之志，蕲胜于人而取于人邪？
【国245】有奇	有余       首长八分有奇
【国246】蕃 fán 息	繁殖生长       五种之于地也，必应其类，而蕃息于百倍
【国247】刻	伤害，虐待       外有利民之名，而内实则侵刻百姓                 苛严，苛刻       用法益刻，盖自此始
